Membrane,Finn-Shaker16thDownbeat,Shaker,SharpHi-Hat,HumanClap,Finn-Snap,HumanClap,RetroRockKit,HeavyKick,RetroRockKit,MetalMachine
0,8.003125,6,13.25,20.5,28.501041666666666,28.25,28,28,28.5,20.019791666666666
0.375,8.5,6.5,13.75,21.5,29.501041666666666,28.75,28.5,29,29.5,20.240625
0.75,9.003125,7,17.25,22.5,30.501041666666666,29.25,29,30,30.5,20.486458333333335
1,9.5,7.5,17.75,23.5,31.501041666666666,29.75,29.5,31,31.5,20.716666666666665
2,10.003125,8,21.25,24.5,32.501041666666666,30.25,30,32,32.5,20.989583333333332
2.3125,10.5,8.5,21.75,25.5,33.501041666666666,30.75,30.5,33,33.5,21.25
2.6875,11.003125,9,25.25,24.5,34.501041666666666,31.25,31,34,36.5,21.508333333333333
2.9375,11.5,9.5,25.75,25.5,36.501041666666666,31.75,31.5,36,37.5,21.735416666666666
4,12.003125,10,31.25,26.5,37.501041666666666,32.25,32,37,38.5,21.978125
4.375,12.5,10.5,31.75,27.5,38.501041666666666,32.75,32.5,38,39.5,22.216666666666665
4.6875,13.003125,11,39.25,28.5,39.501041666666666,33.25,33,39,40.5,22.477083333333333
4.9375,13.5,11.5,39.75,29.5,40.501041666666666,33.75,33.5,40,41.5,22.723958333333332
6,14.003125,12,,28.5,41.501041666666666,34.25,34,41,42,23.003125
6.375,14.5,12.5,,29.5,42.501041666666666,34.75,34.5,42,42.125,23.245833333333334
6.6875,15.003125,13,,30.5,,36.25,36,43,42.25,23.50625
7,15.5,13.5,,31.5,,36.75,36.5,,,23.722916666666666
8,16.003125,14,,32.5,,37.25,37,,,24.019791666666666
8.375,16.5,14,,33.5,,37.75,37.5,,,24.240625
8.75,17.003125,14.5,,34.5,,38.25,38,,,24.48645833333333
9,17.5,15,,36.5,,38.75,38.5,,,24.71666666666667
10,18.003125,15.5,,37.5,,39.25,39,,,24.989583333333332
10.375,18.5,16,,38.5,,39.75,39.5,,,25.25
10.6875,19.003125,16.5,,39.5,,40.25,40,,,25.508333333333333
11,19.5,17,,40.5,,40.75,40.5,,,25.735416666666666
12,20.003125,17.5,,41.5,,41.25,41,,,25.978125
12.375,20.5,18,,42.5,,41.75,41.5,,,26.21666666666667
12.75,21.003125,18.5,,,,42.25,42,,,26.477083333333333
13,21.5,19,,,,42.75,42.5,,,26.723958333333332
14,22.003125,19.5,,,,,43,,,27.003125
14.375,22.5,20,,,,,,,,27.245833333333334
14.6875,23.003125,20.5,,,,,,,,27.50625
15,23.5,21,,,,,,,,27.722916666666666
2,24.003125,21.5,,,,,,,,28.019791666666666
2.375,24.5,22,,,,,,,,28.240625
2.75,25.003125,22,,,,,,,,28.48645833333333
3,25.5,22.5,,,,,,,,28.71666666666667
4,28.00208333333333,23,,,,,,,,28.989583333333332
4.3125,28.5,23.5,,,,,,,,29.25
4.6875,29.00208333333333,24,,,,,,,,29.508333333333333
4.9375,29.5,24.5,,,,,,,,29.735416666666666
6,30.00208333333333,25,,,,,,,,29.978125
6.375,30.5,25.5,,,,,,,,30.21666666666667
6.6875,31.00208333333333,28,,,,,,,,30.477083333333333
6.9375,31.5,28.5,,,,,,,,30.723958333333336
8,32.00208333333333,29,,,,,,,,31.003125
8.375,32.5,29.5,,,,,,,,31.245833333333334
8.6875,33.00208333333333,30,,,,,,,,31.50625
9,33.5,30.5,,,,,,,,31.722916666666666
10,34.00208333333333,31,,,,,,,,32.01979166666666
10.375,34.5,31.5,,,,,,,,32.240625
10.75,36.003125,32,,,,,,,,32.48645833333333
11,36.5,32.5,,,,,,,,32.71666666666667
12,37.003125,33,,,,,,,,32.989583333333336
12.375,37.5,33.5,,,,,,,,33.25
12.6875,38.003125,34,,,,,,,,33.50833333333333
13,38.5,34.5,,,,,,,,33.735416666666666
14,39.003125,36,,,,,,,,33.978125
14.375,39.5,36.5,,,,,,,,34.21666666666667
14.75,40.003125,37,,,,,,,,34.47708333333333
15,40.5,37.5,,,,,,,,34.723958333333336
16,41.003125,38,,,,,,,,36.01979166666666
16.375,41.5,38.5,,,,,,,,36.240625
16.6875,42.003125,39,,,,,,,,36.48645833333333
17,42.5,39.5,,,,,,,,36.71666666666667
4,43.003125,40,,,,,,,,36.989583333333336
4.375,,40.5,,,,,,,,37.25
4.75,,41,,,,,,,,37.50833333333333
5,,41.5,,,,,,,,37.735416666666666
6,,42,,,,,,,,37.978125
6.3125,,42.5,,,,,,,,38.21666666666667
6.6875,,,,,,,,,,38.47708333333333
6.9375,,,,,,,,,,38.72395833333333
8,,,,,,,,,,39.003125
8.375,,,,,,,,,,39.24583333333334
8.6875,,,,,,,,,,39.50625
8.9375,,,,,,,,,,39.72291666666666
10,,,,,,,,,,40.01979166666666
10.375,,,,,,,,,,40.240625
10.6875,,,,,,,,,,40.48645833333333
11,,,,,,,,,,40.71666666666667
12,,,,,,,,,,40.98958333333333
12.375,,,,,,,,,,41.25
12.75,,,,,,,,,,41.50833333333333
13,,,,,,,,,,41.735416666666666
14,,,,,,,,,,41.978125
14.375,,,,,,,,,,42.21666666666667
14.6875,,,,,,,,,,42.47708333333333
15,,,,,,,,,,42.72395833333333
16,,,,,,,,,,43.003125
16.375,,,,,,,,,,43.24583333333334
16.75,,,,,,,,,,43.50625
17,,,,,,,,,,43.72291666666666
18,,,,,,,,,,
18.375,,,,,,,,,,
18.6875,,,,,,,,,,
19,,,,,,,,,,
6,,,,,,,,,,
6.375,,,,,,,,,,
6.75,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
8.3125,,,,,,,,,,
8.6875,,,,,,,,,,
8.9375,,,,,,,,,,
10,,,,,,,,,,
10.375,,,,,,,,,,
10.6875,,,,,,,,,,
10.9375,,,,,,,,,,
12,,,,,,,,,,
12.375,,,,,,,,,,
12.6875,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
14.375,,,,,,,,,,
14.75,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
16.375,,,,,,,,,,
16.6875,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
18.375,,,,,,,,,,
18.75,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
20.375,,,,,,,,,,
20.6875,,,,,,,,,,
21,,,,,,,,,,
8,,,,,,,,,,
8.375,,,,,,,,,,
8.75,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
10.3125,,,,,,,,,,
10.6875,,,,,,,,,,
10.9375,,,,,,,,,,
12,,,,,,,,,,
12.375,,,,,,,,,,
12.6875,,,,,,,,,,
12.9375,,,,,,,,,,
14,,,,,,,,,,
14.375,,,,,,,,,,
14.6875,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
